attempt_id,event_id,endpoint_id,attempt_number,attempted_at,http_status,response_time_ms,response_body_category,timeout,signature_valid,retry_scheduled
ATT_0000001,EVT_000001,EP_0143,1,2024-03-20T18:30:30Z,200,262,success,False,True,False
ATT_0000002,EVT_000001,EP_0143,1,2024-03-20T18:36:59Z,200,339,success,False,True,False
ATT_0000003,EVT_000002,EP_0133,1,2024-03-01T16:07:09Z,200,215,success,False,True,False
ATT_0000004,EVT_000003,EP_0142,1,2024-06-13T03:43:37Z,401,163,invalid_signature,False,False,True
ATT_0000005,EVT_000003,EP_0142,2,2024-06-13T03:44:37Z,401,498,invalid_signature,False,False,True
ATT_0000006,EVT_000003,EP_0142,3,2024-06-13T03:49:37Z,401,361,invalid_signature,False,False,True
ATT_0000007,EVT_000003,EP_0142,4,2024-06-13T04:04:37Z,200,94,success,False,True,False
ATT_0000008,EVT_000004,EP_0133,1,2024-06-29T09:50:52Z,503,1233,server_error,False,True,True
ATT_0000009,EVT_000004,EP_0133,2,2024-06-29T09:51:52Z,503,2812,server_error,False,True,True
ATT_0000010,EVT_000004,EP_0133,3,2024-06-29T09:56:52Z,503,1451,server_error,False,True,True
ATT_0000011,EVT_000004,EP_0133,4,2024-06-29T10:11:52Z,503,2619,server_error,False,True,True
ATT_0000012,EVT_000004,EP_0133,5,2024-06-29T11:11:52Z,503,1818,server_error,False,True,False
ATT_0000013,EVT_000005,EP_0054,1,2024-02-05T05:24:45Z,413,169,payload_too_large,False,True,True
ATT_0000014,EVT_000005,EP_0054,2,2024-02-05T05:25:45Z,413,473,payload_too_large,False,True,True
ATT_0000015,EVT_000005,EP_0054,3,2024-02-05T05:30:45Z,413,373,payload_too_large,False,True,True
ATT_0000016,EVT_000005,EP_0054,4,2024-02-05T05:45:45Z,413,243,payload_too_large,False,True,True
ATT_0000017,EVT_000005,EP_0054,5,2024-02-05T06:45:45Z,413,351,payload_too_large,False,True,False
ATT_0000018,EVT_000006,EP_0050,1,2024-02-11T18:35:35Z,404,191,endpoint_not_found,False,True,True
ATT_0000019,EVT_000006,EP_0050,2,2024-02-11T18:36:35Z,404,245,endpoint_not_found,False,True,True
