endpoint_id,customer_id,endpoint_url_type,expected_signature_version,avg_success_rate,rate_limit_per_minute,active,last_config_change_at
EP_0001,CUST_0015,https_private,v3,0.083,10,False,2024-02-13T08:14:14Z
EP_0002,CUST_0070,https_public,v1,0.127,20,False,2024-01-06T18:51:54Z
EP_0003,CUST_0065,webhook_site,v2,0.731,20,True,2024-05-19T00:53:35Z
EP_0004,CUST_0058,https_private,v3,0.878,60,True,2024-01-02T06:17:11Z
EP_0005,CUST_0044,http_internal,v1,0.527,10,True,2024-05-28T06:08:25Z
EP_0006,CUST_0049,http_internal,v1,0.254,200,False,2024-04-27T05:34:02Z
EP_0007,CUST_0059,https_public,v3,0.974,30,True,2024-03-14T12:05:53Z
EP_0008,CUST_0080,https_public,v1,0.613,200,True,2024-02-07T08:07:47Z
EP_0009,CUST_0030,https_private,v1,0.981,60,True,2024-06-15T02:04:10Z
EP_0010,CUST_0036,http_internal,v2,0.892,20,True,2024-02-01T14:01:22Z
EP_0011,CUST_0035,webhook_site,v3,0.803,20,True,2024-01-14T20:45:35Z
EP_0012,CUST_0069,http_internal,v3,0.496,200,True,2024-03-14T16:23:25Z
EP_0013,CUST_0072,https_public,v1,0.591,10,True,2024-05-29T04:36:02Z
EP_0014,CUST_0041,webhook_site,v3,0.439,30,True,2024-06-26T07:31:21Z
EP_0015,CUST_0028,ngrok,v1,0.633,30,True,2024-06-26T14:06:02Z
EP_0016,CUST_0018,webhook_site,v2,0.731,100,True,2024-02-21T00:27:52Z
EP_0017,CUST_0052,webhook_site,v2,0.988,10,True,2024-01-27T20:40:21Z
EP_0018,CUST_0007,ngrok,v3,0.49,10,True,2024-02-01T01:34:12Z
EP_0019,CUST_0050,http_internal,v3,0.988,10,True,2024-04-12T17:51:05Z
EP_0020,CUST_0015,http_internal,v1,0.717,30,True,2024-02-21T19:29:43Z
EP_0021,CUST_0056,http_internal,v3,0.402,20,True,2024-05-20T05:11:34Z
EP_0022,CUST_0065,webhook_site,v3,0.914,20,True,2024-02-27T22:51:12Z
EP_0023,CUST_0020,webhook_site,v1,0.495,100,True,2024-05-31T04:39:44Z
EP_0024,CUST_0042,http_internal,v1,0.466,10,True,2024-03-11T11:36:46Z
EP_0025,CUST_0031,ngrok,v1,0.959,100,True,2024-01-17T15:10:26Z
EP_0026,CUST_0017,https_private,v2,0.68,100,True,2024-04-16T18:16:13Z
