event_id,delivery_state,failure_reason,safe_to_replay,recommended_action
EVT_002809,failed,payload_too_large,False,reduce_payload
EVT_002871,failed,endpoint_deleted,False,contact_customer
EVT_003787,failed,payload_too_large,False,reduce_payload
EVT_001287,duplicate,duplicate_event,False,investigate_idempotency
EVT_003639,failed,endpoint_deleted,False,contact_customer
EVT_004785,failed,payload_too_large,False,reduce_payload
EVT_001952,recovered,customer_endpoint_down,False,none
EVT_001568,recovered,invalid_signature,False,none
EVT_000305,failed,customer_endpoint_down,True,replay_after_fix
EVT_000183,recovered,customer_endpoint_down,False,none
EVT_001218,delivered,none,False,none
EVT_000085,failed,payload_too_large,False,reduce_payload
EVT_001237,failed,payload_too_large,False,reduce_payload
EVT_003319,duplicate,duplicate_event,False,investigate_idempotency
EVT_003364,failed,endpoint_deleted,False,contact_customer
EVT_003021,failed,payload_too_large,False,reduce_payload
EVT_004676,recovered,customer_endpoint_down,False,none
EVT_004350,failed,payload_too_large,False,reduce_payload
EVT_003565,recovered,customer_endpoint_down,False,none
EVT_002665,failed,customer_endpoint_down,True,replay_after_fix
EVT_003782,failed,endpoint_deleted,False,contact_customer
EVT_002935,delivered,none,False,none
EVT_002256,recovered,customer_endpoint_down,False,none
EVT_001804,delivered,none,False,none
EVT_004353,failed,endpoint_deleted,False,contact_customer
EVT_004664,failed,payload_too_large,False,reduce_payload
EVT_000022,recovered,customer_endpoint_down,False,none
EVT_004637,failed,customer_endpoint_down,True,replay_after_fix
EVT_002734,failed,payload_too_large,False,reduce_payload
EVT_000056,failed,payload_too_large,False,reduce_payload
EVT_003946,failed,payload_too_large,False,reduce_payload
EVT_001330,failed,payload_too_large,False,reduce_payload
EVT_004328,failed,endpoint_deleted,False,contact_customer
EVT_000578,failed,payload_too_large,False,reduce_payload
EVT_000136,delivered,none,False,none
EVT_001476,delivered,none,False,none
EVT_004738,failed,payload_too_large,False,reduce_payload
EVT_002927,expired,customer_endpoint_down,False,notify_customer
EVT_001079,expired,customer_endpoint_down,False,notify_customer
EVT_001581,failed,payload_too_large,False,reduce_payload
EVT_001438,recovered,rate_limited,False,none
EVT_001623,failed,payload_too_large,False,reduce_payload
EVT_004453,failed,payload_too_large,False,reduce_payload
EVT_004568,delivered,none,False,none
EVT_001762,failed,payload_too_large,False,reduce_payload
EVT_004183,failed,endpoint_deleted,False,contact_customer
EVT_002896,recovered,customer_endpoint_down,False,none
EVT_002965,delivered,none,False,none
EVT_002175,failed,payload_too_large,False,reduce_payload
EVT_001428,failed,payload_too_large,False,reduce_payload
EVT_003232,failed,payload_too_large,False,reduce_payload
EVT_003225,failed,endpoint_deleted,False,contact_customer
EVT_004876,failed,payload_too_large,False,reduce_payload
EVT_003085,failed,payload_too_large,False,reduce_payload
EVT_001929,failed,payload_too_large,False,reduce_payload
EVT_003122,failed,payload_too_large,False,reduce_payload
EVT_004454,failed,endpoint_deleted,False,contact_customer
EVT_000921,recovered,customer_endpoint_down,False,none
EVT_004373,failed,endpoint_deleted,False,contact_customer
EVT_002079,failed,payload_too_large,False,reduce_payload
EVT_003015,failed,payload_too_large,False,reduce_payload
EVT_002533,failed,payload_too_large,False,reduce_payload
EVT_001129,recovered,rate_limited,False,none
EVT_001785,failed,customer_endpoint_down,True,replay_after_fix
EVT_003556,recovered,rate_limited,False,none
EVT_003154,delivered,none,False,none
EVT_003550,failed,customer_endpoint_down,True,replay_after_fix
EVT_002620,delivered,none,False,none
EVT_002309,recovered,customer_endpoint_down,False,none
EVT_003340,failed,customer_endpoint_down,True,replay_after_fix
EVT_001397,delivered,none,False,none
EVT_002191,failed,endpoint_deleted,False,contact_customer
EVT_001567,failed,endpoint_deleted,False,contact_customer
EVT_003309,recovered,customer_endpoint_down,False,none
EVT_001681,expired,customer_endpoint_down,False,notify_customer
EVT_002360,failed,endpoint_deleted,False,contact_customer
EVT_003104,failed,payload_too_large,False,reduce_payload
EVT_001329,failed,customer_endpoint_down,True,replay_after_fix
EVT_001972,failed,payload_too_large,False,reduce_payload
EVT_000281,delivered,none,False,none
EVT_004819,delivered,none,False,none
EVT_000004,failed,customer_endpoint_down,True,replay_after_fix
EVT_003088,recovered,customer_endpoint_down,False,none
EVT_000421,failed,payload_too_large,False,reduce_payload
EVT_004003,failed,endpoint_deleted,False,contact_customer
EVT_002994,recovered,invalid_signature,False,none
EVT_003833,recovered,customer_endpoint_down,False,none
EVT_002496,failed,customer_endpoint_down,True,replay_after_fix
EVT_002741,recovered,customer_endpoint_down,False,none
EVT_003739,failed,payload_too_large,False,reduce_payload
EVT_003478,delivered,none,False,none
EVT_000468,recovered,customer_endpoint_down,False,none
EVT_002504,recovered,malformed_response,False,none
EVT_002848,failed,endpoint_deleted,False,contact_customer
EVT_001054,failed,customer_endpoint_down,True,replay_after_fix
EVT_000863,recovered,customer_endpoint_down,False,none
EVT_003927,recovered,invalid_signature,False,none
EVT_000351,recovered,invalid_signature,False,none
EVT_002441,failed,payload_too_large,False,reduce_payload
EVT_000773,failed,payload_too_large,False,reduce_payload
EVT_000337,failed,payload_too_large,False,reduce_payload
EVT_004564,delivered,none,False,none
EVT_000146,failed,payload_too_large,False,reduce_payload
EVT_000269,failed,endpoint_deleted,False,contact_customer
EVT_002797,failed,payload_too_large,False,reduce_payload
EVT_002337,failed,endpoint_deleted,False,contact_customer
EVT_003351,recovered,customer_endpoint_down,False,none
EVT_001959,failed,endpoint_deleted,False,contact_customer
EVT_004341,recovered,customer_endpoint_down,False,none
EVT_004871,failed,payload_too_large,False,reduce_payload
EVT_002396,failed,payload_too_large,False,reduce_payload
EVT_002532,recovered,invalid_signature,False,none
EVT_001181,failed,payload_too_large,False,reduce_payload
EVT_004914,failed,payload_too_large,False,reduce_payload
EVT_002745,failed,payload_too_large,False,reduce_payload
EVT_000174,recovered,malformed_response,False,none
EVT_001066,failed,customer_endpoint_down,True,replay_after_fix
EVT_004015,failed,customer_endpoint_down,True,replay_after_fix
EVT_004228,delivered,none,False,none
EVT_002249,duplicate,duplicate_event,False,investigate_idempotency
EVT_002169,failed,payload_too_large,False,reduce_payload
EVT_004549,failed,payload_too_large,False,reduce_payload
EVT_000617,failed,payload_too_large,False,reduce_payload
EVT_003231,failed,endpoint_deleted,False,contact_customer
EVT_003826,failed,payload_too_large,False,reduce_payload
EVT_004246,failed,endpoint_deleted,False,contact_customer
EVT_004558,recovered,malformed_response,False,none
EVT_003960,failed,payload_too_large,False,reduce_payload
EVT_001404,failed,endpoint_deleted,False,contact_customer
EVT_000766,failed,payload_too_large,False,reduce_payload
EVT_002047,failed,payload_too_large,False,reduce_payload
EVT_001999,failed,endpoint_deleted,False,contact_customer
EVT_000969,failed,payload_too_large,False,reduce_payload
EVT_000418,failed,endpoint_deleted,False,contact_customer
EVT_004806,failed,payload_too_large,False,reduce_payload
EVT_001841,failed,endpoint_deleted,False,contact_customer
EVT_001363,recovered,malformed_response,False,none
EVT_004043,failed,endpoint_deleted,False,contact_customer
EVT_002775,failed,payload_too_large,False,reduce_payload
EVT_002217,failed,endpoint_deleted,False,contact_customer
EVT_002226,failed,customer_endpoint_down,True,replay_after_fix
EVT_004813,recovered,invalid_signature,False,none
EVT_001871,recovered,customer_endpoint_down,False,none
EVT_003616,recovered,rate_limited,False,none
EVT_002050,duplicate,duplicate_event,False,investigate_idempotency
EVT_001591,recovered,rate_limited,False,none
EVT_002860,recovered,invalid_signature,False,none
EVT_003260,failed,payload_too_large,False,reduce_payload
EVT_004567,delivered,none,False,none
EVT_003544,failed,payload_too_large,False,reduce_payload
EVT_002868,failed,malformed_response,True,replay_after_fix
EVT_000869,failed,endpoint_deleted,False,contact_customer
EVT_000941,failed,payload_too_large,False,reduce_payload
EVT_001802,failed,endpoint_deleted,False,contact_customer
EVT_003654,failed,payload_too_large,False,reduce_payload
EVT_002969,failed,payload_too_large,False,reduce_payload
EVT_001235,failed,payload_too_large,False,reduce_payload
EVT_000313,recovered,invalid_signature,False,none
EVT_002166,failed,payload_too_large,False,reduce_payload
EVT_004706,delivered,none,False,none
EVT_003894,failed,endpoint_deleted,False,contact_customer
EVT_002324,delivered,none,False,none
EVT_001872,expired,customer_endpoint_down,False,notify_customer
EVT_001309,delivered,none,False,none
EVT_002459,recovered,rate_limited,False,none
EVT_001262,failed,payload_too_large,False,reduce_payload
EVT_001736,failed,payload_too_large,False,reduce_payload
EVT_002329,recovered,customer_endpoint_down,False,none
EVT_002292,failed,customer_endpoint_down,True,replay_after_fix
EVT_002863,delivered,none,False,none
EVT_002530,failed,malformed_response,True,replay_after_fix
EVT_001046,failed,payload_too_large,False,reduce_payload
EVT_000096,recovered,customer_endpoint_down,False,none
EVT_004027,failed,payload_too_large,False,reduce_payload
EVT_002885,failed,payload_too_large,False,reduce_payload
EVT_004687,delivered,none,False,none
EVT_002800,recovered,customer_endpoint_down,False,none
EVT_004114,failed,customer_endpoint_down,True,replay_after_fix
EVT_001754,failed,customer_endpoint_down,True,replay_after_fix
EVT_003244,delivered,none,False,none
EVT_002280,failed,payload_too_large,False,reduce_payload
EVT_002323,failed,customer_endpoint_down,True,replay_after_fix
