event_id,event_type,customer_id,invoice_id,created_at,payload_size_kb,idempotency_key,priority
EVT_000001,invoice.rejected,CUST_0016,INV_97207,2024-03-20T18:30:25Z,47.12,2bf4bb37-8f0e-4055-bc86-456ebff4931c,high
EVT_000002,invoice.rejected,CUST_0077,INV_23579,2024-03-01T16:07:02Z,29.32,a99e8c47-b6f6-44d9-8289-04a2ab9d93fc,low
EVT_000003,compliance.submitted,CUST_0045,INV_58176,2024-06-13T03:43:32Z,91.79,87bd12a2-d857-47ed-9ded-c7ba2d55e064,low
EVT_000004,compliance.failed,CUST_0078,INV_45054,2024-06-29T09:50:47Z,90.99,1fe4f774-550c-440f-a4d1-e20ba1500115,high
EVT_000005,invoice.validated,CUST_0001,INV_84228,2024-02-05T05:24:40Z,33.21,cfd7df4d-ee9e-4fcc-a513-e0957df1adff,low
EVT_000006,invoice.paid,CUST_0068,INV_65028,2024-02-11T18:35:30Z,73.61,54dc6c50-3bda-4023-af4f-889968022452,low
EVT_000007,invoice.validated,CUST_0007,INV_90981,2024-01-31T05:03:17Z,62.24,9074e648-697e-42de-99b1-5b705809e44c,critical
EVT_000008,invoice.paid,CUST_0078,INV_45804,2024-03-26T20:04:30Z,11.56,ee0bede4-fd1f-4dc0-aa91-f5cd5c998234,high
EVT_000009,compliance.submitted,CUST_0076,INV_97442,2024-04-04T11:52:22Z,16.11,e7a19ed3-c68a-4578-b33d-756c143bea56,low
EVT_000010,invoice.validated,CUST_0027,INV_27987,2024-02-28T12:42:57Z,93.42,d9f8634b-97a0-4a15-8c5b-4e875848d3bc,critical
EVT_000011,invoice.paid,CUST_0023,INV_79806,2024-01-26T02:02:56Z,125.04,8f620eea-5dc0-49b3-ae68-d2cf5bd9ac4c,low
EVT_000012,compliance.failed,CUST_0051,INV_15544,2024-06-16T08:06:46Z,118.96,87cf7376-d9f6-4539-b98f-baa39912431e,critical
EVT_000013,compliance.failed,CUST_0074,INV_93904,2024-03-19T12:44:50Z,67.28,c68d4e6e-e48e-4cca-a3ed-de05a5226a56,normal
EVT_000014,compliance.failed,CUST_0080,INV_57428,2024-03-30T08:12:25Z,275.91,e0b34107-89a7-40a9-8653-3bd1f45207b1,critical
EVT_000015,invoice.paid,CUST_0068,INV_50668,2024-01-16T06:31:19Z,37.54,b1cd124e-eba3-45f3-889c-eb08b215be2e,low
EVT_000016,invoice.validated,CUST_0068,INV_55793,2024-04-09T00:32:55Z,18.2,2001dac9-54c3-400d-a9ff-6173d50aec9a,normal
EVT_000017,invoice.rejected,CUST_0014,INV_35856,2024-01-29T10:28:46Z,9.5,8de9a3bf-0b27-4c87-8056-3501c52ed4a1,normal
EVT_000018,compliance.submitted,CUST_0064,INV_85952,2024-03-31T02:10:40Z,376.12,62e1e0fe-cf4a-4a9d-ad60-fca6035d736d,high
EVT_000019,invoice.paid,CUST_0041,INV_18950,2024-01-30T07:30:44Z,448.45,971eb42d-cb97-4ef6-9911-486bace48d06,low
EVT_000020,invoice.created,CUST_0046,INV_50685,2024-04-08T12:21:40Z,55.64,0806d555-5b46-4cf7-846f-aacf6132d232,low
EVT_000021,compliance.submitted,CUST_0012,INV_76462,2024-04-29T10:08:48Z,497.72,5b1a38af-565a-4a0d-a020-90e673edf3d4,low
EVT_000022,compliance.submitted,CUST_0058,INV_95437,2024-06-25T12:28:47Z,10.22,76d77aa0-b41c-443c-a688-063383bdde75,critical
EVT_000023,invoice.rejected,CUST_0014,INV_21053,2024-06-06T11:22:45Z,75.88,bd131038-1b75-4ba1-b52e-38eac0b9bfcf,critical
EVT_000024,compliance.submitted,CUST_0068,INV_30807,2024-04-11T12:10:56Z,187.69,e8b7932d-75dc-4744-a700-2b9a0986e3c9,low
EVT_000025,invoice.rejected,CUST_0043,INV_22387,2024-01-13T19:10:17Z,278.62,62ecf969-9e5b-41ac-b789-a716d0e47f83,normal
EVT_000026,compliance.submitted,CUST_0043,INV_96980,2024-01-16T19:49:36Z,501.92,4e261463-01ef-406f-8e1e-fa95d131fc55,critical
EVT_000027,compliance.failed,CUST_0017,INV_21104,2024-04-25T13:05:35Z,16.17,80180642-6be6-467b-812e-215cbd501d45,low
EVT_000028,invoice.rejected,CUST_0055,INV_12389,2024-04-08T17:43:41Z,77.04,e93a2c6d-b244-4235-9c16-68a12bb41093,normal
EVT_000029,invoice.validated,CUST_0029,INV_20114,2024-01-27T17:06:03Z,358.4,f7a61dd7-8c4e-42e9-9ecf-b175585916c0,low
EVT_000030,compliance.submitted,CUST_0044,INV_27176,2024-06-19T04:17:10Z,256.42,5b62c40b-5d9e-4545-a7f9-750ce1291bb7,normal
EVT_000031,invoice.paid,CUST_0057,INV_57749,2024-01-09T11:37:17Z,85.63,26a78bd7-3b63-480f-bdf5-4080d104782a,critical
EVT_000032,invoice.validated,CUST_0030,INV_50562,2024-04-13T16:40:20Z,48.31,12037bf0-6a5e-4e3d-88c5-cb2e02b1386b,high
EVT_000033,invoice.paid,CUST_0074,INV_46932,2024-03-26T13:19:57Z,39.13,4c868a7c-648b-404f-8eeb-c364922b4f13,normal
EVT_000034,invoice.rejected,CUST_0078,INV_16839,2024-01-27T20:59:02Z,32.42,7cda613f-d15f-476a-8113-eef377b10515,low
EVT_000035,invoice.validated,CUST_0037,INV_45755,2024-01-17T06:53:11Z,23.02,db979ec5-7656-4cda-87da-50130d9f1934,normal
EVT_000036,invoice.rejected,CUST_0058,INV_13495,2024-06-20T18:40:24Z,109.47,936c935e-0dd2-4f64-a4ae-da00fb3d0def,low
EVT_000037,invoice.created,CUST_0048,INV_51770,2024-02-13T14:25:35Z,46.61,645e8014-cac8-494e-b190-b08ad8f2da46,normal
EVT_000038,invoice.paid,CUST_0005,INV_28191,2024-02-25T16:57:17Z,38.18,75beb352-938a-494e-b5ba-88193d9ac124,low
EVT_000039,invoice.validated,CUST_0033,INV_81932,2024-02-11T21:01:26Z,141.33,6236e73f-cc40-44ab-a1c5-f8b2abcd9237,normal
EVT_000040,invoice.created,CUST_0039,INV_41252,2024-01-24T15:51:16Z,21.57,11c995f8-1786-422e-99a5-b220916076a4,critical
EVT_000041,invoice.created,CUST_0077,INV_92831,2024-04-14T02:11:30Z,86.29,96adaab8-da6e-46fc-8b17-d0c0348d2ca4,low
EVT_000042,invoice.validated,CUST_0079,INV_84798,2024-03-09T12:14:30Z,149.66,6a60a24e-302f-4fa6-af14-b396118e554b,low
EVT_000043,compliance.submitted,CUST_0068,INV_76535,2024-04-15T15:36:20Z,346.68,33a5b340-fc96-4df3-a1e6-47b65f2701cc,critical
EVT_000044,compliance.failed,CUST_0048,INV_12128,2024-02-19T06:05:45Z,275.23,a0a79f08-4c3c-4e32-a445-a4a0967132a7,low
EVT_000045,invoice.rejected,CUST_0075,INV_27486,2024-05-22T18:13:10Z,3.17,e232a9f0-5f49-401e-9285-9e09bbdc944b,critical
EVT_000046,invoice.validated,CUST_0062,INV_27675,2024-05-02T16:06:08Z,166.43,9af673ca-c645-4212-82a7-30a7da48a2ee,normal
EVT_000047,invoice.validated,CUST_0006,INV_15492,2024-06-02T14:50:10Z,324.25,d363930b-b794-431c-9b7c-77171ef8d176,critical
EVT_000048,compliance.failed,CUST_0033,INV_35048,2024-01-08T02:39:54Z,214.91,94ef74ee-52ff-4300-848c-dce53cef731d,high
EVT_000049,invoice.rejected,CUST_0035,INV_67272,2024-01-25T04:05:44Z,161.5,c5721157-1f29-4a6f-b02c-4aef7af413ff,high
EVT_000050,compliance.failed,CUST_0024,INV_75211,2024-04-06T08:28:28Z,19.0,a6fe3637-e2f9-4a94-9af2-d1782bc2166c,critical
EVT_000051,compliance.submitted,CUST_0011,INV_33652,2024-03-24T14:46:29Z,224.98,ed57ae59-9d8f-44e8-bc0d-e6727f9f7869,high
EVT_000052,compliance.submitted,CUST_0040,INV_65851,2024-03-27T14:07:05Z,339.5,1aa0b263-12f9-4dc5-b3ee-6248927a3858,high
EVT_000053,invoice.rejected,CUST_0079,INV_93816,2024-03-25T10:58:10Z,223.41,4f6ceae8-0489-4d01-befc-9074ea5ee39a,critical
EVT_000054,compliance.failed,CUST_0047,INV_99051,2024-04-09T15:09:14Z,464.78,b6f3f8bd-4b4b-4768-8e3f-f3b854cc85fe,critical
EVT_000055,invoice.created,CUST_0005,INV_40932,2024-01-25T12:16:28Z,319.45,f41fbeab-dc56-4369-b067-4e0d93dbb0e5,low
EVT_000056,compliance.failed,CUST_0078,INV_68972,2024-01-30T19:04:25Z,438.08,a73ee47f-b845-4b7c-b313-df4b665b89f3,normal
EVT_000057,invoice.paid,CUST_0068,INV_51207,2024-03-12T06:06:38Z,235.4,672fcd85-bb10-4d3b-9195-d74311b186df,normal
EVT_000058,invoice.paid,CUST_0064,INV_83619,2024-04-10T12:52:04Z,6.77,e927b041-5488-4edd-831b-99fead843736,high
EVT_000059,invoice.created,CUST_0063,INV_27790,2024-02-08T20:53:55Z,117.81,20c67dd2-f920-45d0-9479-9bba672bd0e3,low
EVT_000060,invoice.rejected,CUST_0041,INV_18511,2024-05-09T16:21:32Z,27.95,30df3ccc-8505-411d-8e86-b38453a4b879,normal
EVT_000061,invoice.validated,CUST_0047,INV_25907,2024-04-08T18:58:25Z,168.81,197f0cdf-008e-4364-aeb3-30709e811ce6,low
EVT_000062,compliance.submitted,CUST_0047,INV_58353,2024-04-17T13:55:37Z,23.9,2f17cb28-4666-4e51-9900-1cd1a96a53a4,low
EVT_000063,compliance.failed,CUST_0040,INV_72739,2024-03-18T07:33:35Z,26.76,0e743e41-092e-4d37-99d1-d99b6757c05a,normal
EVT_000064,invoice.created,CUST_0041,INV_68979,2024-05-04T17:30:53Z,240.04,b8fb529a-d5ae-4b29-8a37-b47ac9f5a68a,normal
EVT_000065,compliance.submitted,CUST_0017,INV_17263,2024-03-25T00:08:50Z,41.74,8efbd7c9-01d4-44fd-850e-92439340bc22,high
EVT_000066,compliance.submitted,CUST_0029,INV_47230,2024-03-08T04:35:03Z,398.14,e31c4dc9-ad71-471f-8e71-edcc3186419c,high
EVT_000067,invoice.rejected,CUST_0017,INV_90534,2024-05-01T08:48:55Z,252.61,ad727d45-27a9-4e10-8a02-f9ffee3dbd1b,normal
EVT_000068,compliance.submitted,CUST_0022,INV_89316,2024-05-07T21:55:03Z,17.54,5fc07c9e-7089-4690-adcc-bed6ee7eb55a,low
EVT_000069,compliance.submitted,CUST_0006,INV_44688,2024-05-04T13:23:27Z,329.98,58f9de00-e3c3-44c4-843c-939ea7f47938,low
EVT_000070,compliance.failed,CUST_0064,INV_81509,2024-06-21T15:01:32Z,350.68,6c1a7c95-f979-4bfd-ae14-8dae8e1345a7,critical
EVT_000071,invoice.created,CUST_0039,INV_17852,2024-03-29T01:40:07Z,112.34,756d1db8-f81c-4f07-a03e-2bfa087b846d,normal
EVT_000072,compliance.failed,CUST_0041,INV_51853,2024-06-16T06:48:41Z,36.98,017b2a24-77df-4cf3-baba-b1200a293e0c,high
EVT_000073,invoice.created,CUST_0066,INV_51827,2024-04-19T01:29:03Z,12.85,41abb51e-97cd-4427-ac2c-63328f955f67,low
EVT_000074,invoice.paid,CUST_0007,INV_90658,2024-02-26T08:29:09Z,194.4,f1945805-b5a9-478f-807d-c3ecb6cacabe,high
EVT_000075,invoice.validated,CUST_0025,INV_75308,2024-05-28T04:24:12Z,120.02,30c07769-9899-4a19-91c1-1a45b1b329a9,low
